shared_DEG	gxe_DEG	allgenesdeg	shared_entrez	gxe_entrez	all_entrez
NA	NA	FBgn0010602	NA	NA	33226
NA	NA	FBgn0031258	NA	NA	33222
NA	NA	FBgn0015924	NA	NA	33219
NA	NA	FBgn0031253	NA	NA	33215
NA	NA	FBgn0031252	NA	NA	33213
NA	NA	FBgn0031251	NA	NA	33209
NA	NA	FBgn0031250	NA	NA	33207
NA	NA	FBgn0067779	NA	NA	33161
NA	NA	FBgn0031213	NA	NA	33162
NA	NA	FBgn0031214	NA	NA	33163
NA	NA	FBgn0031216	NA	NA	33165
NA	NA	FBgn0031217	NA	NA	33166
NA	NA	FBgn0031228	NA	NA	33179
NA	NA	FBgn0031229	NA	NA	33180
NA	NA	FBgn0031231	NA	NA	33182
NA	NA	FBgn0031233	NA	NA	33184
NA	NA	FBgn0003444	NA	NA	33196
NA	NA	FBgn0031247	NA	NA	33200
NA	NA	FBgn0024352	NA	NA	33202
NA	NA	FBgn0020622	NA	NA	33203
NA	NA	FBgn0017457	NA	NA	33201
NA	NA	FBgn0031245	NA	NA	33198
NA	NA	FBgn0031244	NA	NA	33197
NA	NA	FBgn0031238	NA	NA	33190
NA	NA	FBgn0031232	NA	NA	33183
NA	NA	FBgn0026787	NA	NA	33167
NA	NA	FBgn0002931	NA	NA	45339
NA	NA	FBgn0051973	NA	NA	33158
NA	NA	FBgn0002121	NA	NA	33156
NA	NA	FBgn0036970	NA	NA	40236
NA	NA	FBgn0036974	NA	NA	40240
NA	NA	FBgn0036975	NA	NA	40241
NA	NA	FBgn0024887	NA	NA	40242
NA	NA	FBgn0036980	NA	NA	40249
NA	NA	FBgn0036985	NA	NA	40255
NA	NA	FBgn0036991	NA	NA	40262
NA	NA	FBgn0036993	NA	NA	40264
NA	NA	FBgn0036997	NA	NA	40268
NA	NA	FBgn0036998	NA	NA	40269
NA	NA	FBgn0036999	NA	NA	40270
NA	NA	FBgn0037001	NA	NA	40272
NA	NA	FBgn0052425	NA	NA	40273
NA	NA	FBgn0037009	NA	NA	40280
NA	NA	FBgn0037011	NA	NA	40282
NA	NA	FBgn0001323	NA	NA	40285
NA	NA	FBgn0037012	NA	NA	40283
NA	NA	FBgn0037010	NA	NA	40281
NA	NA	FBgn0037008	NA	NA	40279
NA	NA	FBgn0037007	NA	NA	40278
NA	NA	FBgn0037000	NA	NA	40271
NA	NA	FBgn0052428	NA	NA	50105
NA	NA	FBgn0036995	NA	NA	40266
NA	NA	FBgn0036994	NA	NA	40265
NA	NA	FBgn0036992	NA	NA	40263
NA	NA	FBgn0036990	NA	NA	40261
NA	NA	FBgn0029158	NA	NA	40259
NA	NA	FBgn0036988	NA	NA	40258
NA	NA	FBgn0036987	NA	NA	40257
NA	NA	FBgn0036986	NA	NA	40256
NA	NA	FBgn0028978	NA	NA	43999
NA	NA	FBgn0027565	NA	NA	40250
NA	NA	FBgn0001247	NA	NA	40248
NA	NA	FBgn0036973	NA	NA	40239
NA	NA	FBgn0037016	NA	NA	40289
NA	NA	FBgn0040634	NA	NA	50107
NA	NA	FBgn0016696	NA	NA	40292
NA	NA	FBgn0037020	NA	NA	40294
NA	NA	FBgn0037024	NA	NA	40299
NA	NA	FBgn0037025	NA	NA	40300
NA	NA	FBgn0037027	NA	NA	40302
NA	NA	FBgn0040636	NA	NA	50109
NA	NA	FBgn0037031	NA	NA	40309
NA	NA	FBgn0040637	NA	NA	50110
NA	NA	FBgn0011591	NA	NA	40314
NA	NA	FBgn0052432	NA	NA	40310
NA	NA	FBgn0027055	NA	NA	40308
NA	NA	FBgn0037026	NA	NA	40301
NA	NA	FBgn0037023	NA	NA	40298
NA	NA	FBgn0027364	NA	NA	40297
NA	NA	FBgn0037022	NA	NA	40296
NA	NA	FBgn0037021	NA	NA	40295
NA	NA	FBgn0037019	NA	NA	40293
NA	NA	FBgn0037018	NA	NA	40291
NA	NA	FBgn0037017	NA	NA	40290
NA	NA	FBgn0037015	NA	NA	40288
NA	NA	FBgn0001320	NA	NA	40287
NA	NA	FBgn0037037	NA	NA	40316
NA	NA	FBgn0037044	NA	NA	40323
NA	NA	FBgn0028402	NA	NA	40325
NA	NA	FBgn0026179	NA	NA	40327
NA	NA	FBgn0037050	NA	NA	40331
NA	NA	FBgn0037057	NA	NA	40339
NA	NA	FBgn0037060	NA	NA	40342
NA	NA	FBgn0028427	NA	NA	53573
NA	NA	FBgn0004865	NA	NA	40345
NA	NA	FBgn0037061	NA	NA	40343
NA	NA	FBgn0037059	NA	NA	40341
NA	NA	FBgn0053054	NA	NA	40340
NA	NA	FBgn0024150	NA	NA	40333
NA	NA	FBgn0037051	NA	NA	40332
NA	NA	FBgn0020294	NA	NA	40330
NA	NA	FBgn0037045	NA	NA	40324
NA	NA	FBgn0003415	NA	NA	43906
NA	NA	FBgn0053286	NA	NA	2768984
NA	NA	FBgn0053287	NA	NA	2768986
NA	NA	FBgn0037040	NA	NA	40319
NA	NA	FBgn0037039	NA	NA	40318
NA	NA	FBgn0037038	NA	NA	40317
NA	NA	FBgn0037036	NA	NA	40315
NA	NA	FBgn0037069	NA	NA	40355
NA	NA	FBgn0037071	NA	NA	40357
NA	NA	FBgn0037073	NA	NA	40360
NA	NA	FBgn0052436	NA	NA	40362
NA	NA	FBgn0052437	NA	NA	40366
NA	NA	FBgn0052440	NA	NA	318030
NA	NA	FBgn0005694	NA	NA	40370
NA	NA	FBgn0037087	NA	NA	40377
NA	NA	FBgn0037093	NA	NA	40385
NA	NA	FBgn0037094	NA	NA	40386
NA	NA	FBgn0015283	NA	NA	40388
NA	NA	FBgn0028663	NA	NA	40389
NA	NA	FBgn0053290	NA	NA	2768993
NA	NA	FBgn0037101	NA	NA	40394
NA	NA	FBgn0052438	NA	NA	326215
